A,B,Maximum Temperature,Saturation Magnetization,Contain RE,Contains Toxic
Ce,Fe,-38,2.5,TRUE,FALSE
Co,Ga,316,0.53,FALSE,TRUE
Co,Pt,567,1.01,FALSE,TRUE
Co,Si,237,0.24,FALSE,TRUE
Co,Sn,366,0.76,FALSE,TRUE
Cr,O,123,0.49,FALSE,FALSE
Dy,Fe,362,5.8,TRUE,FALSE
Er,Fe,314,4.9,TRUE,FALSE
Eu,O,-204,2.36,TRUE,FALSE
Fe,Pd,476,1.38,FALSE,FALSE
Fe,Pt,477,1.43,FALSE,FALSE
Gd,Co,741,0.29,TRUE,TRUE
Gd,Fe,523,3.6,TRUE,FALSE
Ho,Fe,335,5.5,TRUE,FALSE
Mn,Al,377,0.75,FALSE,FALSE
Mn,As,45,0.63,FALSE,TRUE
Mn,Bi,360,0.73,FALSE,FALSE
Ni,Fe,570,1.04,FALSE,FALSE
Ni,Mn,477,1,FALSE,FALSE
Sm,Co,747,0.86,TRUE,TRUE
Sm,Fe,415,2.7,TRUE,FALSE
Tb,Fe,425,0.5,FALSE,FALSE
Tm,Fe,326,2.6,TRUE,FALSE
Y,Co,714,0.85,FALSE,TRUE
Y,Fe,54,0.48,FALSE,FALSE
